Period,Total
"January 2000","686630"
"February 2000","666717"
"March 2000","733948"
"April 2000","700294"
"May 2000","741497"
"June 2000","730165"
"July 2000","760485"
"August 2000","766895"
"September 2000","727066"
"October 2000","761712"
"November 2000","725382"
"December 2000","717264"
"January 2001","759068"
"February 2001","689239"
"March 2001","767465"
"April 2001","733397"
"May 2001","757228"
"June 2001","739189"
"July 2001","779425"
"August 2001","795046"
"September 2001","592601"
"October 2001","660218"
"November 2001","632037"
"December 2001","653306"
"January 2002","691930"
"February 2002","645915"
"March 2002","725857"
"April 2002","708576"
"May 2002","727667"
"June 2002","733427"
"July 2002","773044"
"August 2002","780714"
"September 2002","715685"
"October 2002","953923"
"November 2002","898200"
"December 2002","920983"
"January 2003","920995"
"February 2003","815669"
"March 2003","936635"
"April 2003","901728"
"May 2003","925461"
"June 2003","939108"
"July 2003","983993"
"August 2003","986243"
"September 2003","918168"
"October 2003","958855"
"November 2003","896035"
"December 2003","938856"
"January 2004","922361"
"February 2004","892223"
"March 2004","978224"
"April 2004","959422"
"May 2004","975547"
"June 2004","987186"
"July 2004","1030876"
"August 2004","1042058"
"September 2004","961154"
"October 2004","1003429"
"November 2004","956063"
"December 2004","984998"
"January 2005","953394"
"February 2005","898919"
"March 2005","1028356"
"April 2005","991557"
"May 2005","1026056"
"June 2005","1027405"
"July 2005","1054839"
"August 2005","1059991"
"September 2005","966760"
"October 2005","978101"
"November 2005","943080"
"December 2005","956024"
"January 2006","930917"
"February 2006","852384"
"March 2006","984948"
"April 2006","944131"
"May 2006","977754"
"June 2006","982000"
"July 2006","1015336"
"August 2006","1038903"
"September 2006","950564"
"October 2006","976298"
"November 2006","938622"
"December 2006","961074"
"January 2007","953470"
"February 2007","863811"
"March 2007","991230"
"April 2007","959548"
"May 2007","1001651"
"June 2007","994347"
"July 2007","1029306"
"August 2007","1045003"
"September 2007","952243"
"October 2007","991161"
"November 2007","949514"
"December 2007","954808"
"January 2008","942664"
"February 2008","889426"
"March 2008","970895"
"April 2008","950619"
"May 2008","972643"
"June 2008","968552"
"July 2008","1007295"
"August 2008","982853"
"September 2008","865291"
"October 2008","899330"
"November 2008","836757"
"December 2008","857837"
"January 2009","842669"
"February 2009","782963"
"March 2009","884511"
"April 2009","863624"
"May 2009","880602"
"June 2009","899082"
"July 2009","941662"
"August 2009","926551"
"September 2009","840699"
"October 2009","858338"
"November 2009","819304"
"December 2009","842635"
"January 2010","824800"
"February 2010","744870"
"March 2010","879935"
"April 2010","857105"
"May 2010","880845"
"June 2010","897826"
"July 2010","938033"
"August 2010","933206"
"September 2010","853345"
"October 2010","872640"
"November 2010","834040"
"December 2010","844807"
"January 2011","814870"
"February 2011","750742"
"March 2011","902421"
"April 2011","858149"
"May 2011","882555"
"June 2011","904947"
"July 2011","938607"
"August 2011","922787"
"September 2011","845068"
"October 2011","858049"
"November 2011","813562"
"December 2011","844098"
"January 2012","809989"
"February 2012","778506"
"March 2012","876004"
"April 2012","843962"
"May 2012","870622"
"June 2012","882553"
"July 2012","908401"
"August 2012","908970"
"September 2012","810688"
"October 2012","830442"
"November 2012","800340"
"December 2012","806673"
"January 2013","796638"
"February 2013","732349"
"March 2013","850312"
"April 2013","828721"
"May 2013","862953"
"June 2013","863316"
"July 2013","902945"
"August 2013","900248"
"September 2013","811934"
"October 2013","845017"
"November 2013","784053"
"December 2013","800901"
"January 2014","758882"
"February 2014","702046"
"March 2014","839148"
"April 2014","815598"
"May 2014","838838"
"June 2014","851632"
"July 2014","896105"
"August 2014","879511"
"September 2014","797616"
"October 2014","830899"
"November 2014","779577"
"December 2014","813275"
"January 2015","769838"
"February 2015","695672"
"March 2015","824962"
"April 2015","809672"
"May 2015","831290"
"June 2015","843910"
"July 2015","889071"
"August 2015","874486"
"September 2015","793473"
"October 2015","822879"
"November 2015","778253"
"December 2015","807281"
"January 2016","772318"
"February 2016","741989"
"March 2016","843025"
"April 2016","814562"
"May 2016","843349"
"June 2016","861926"
"July 2016","883444"
"August 2016","884673"
"September 2016","808924"
"October 2016","822428"
"November 2016","790314"
"December 2016","811833"
"January 2017","781550"
"February 2017","718720"
"March 2017","844411"
"April 2017","813160"
"May 2017","852658"
"June 2017","871648"
"July 2017","894719"
"August 2017","891865"
"September 2017","785926"
"October 2017","831120"
"November 2017","794942"
"December 2017","818233"
"January 2018","794356"
"February 2018","730299"
"March 2018","849548"
"April 2018","838239"
"May 2018","876895"
"June 2018","889477"
"July 2018","920707"
"August 2018","917018"
"September 2018","825222"
"October 2018","866502"
"November 2018","820380"
"December 2018","842297"
"January 2019","815466"
"February 2019","741094"
"March 2019","883121"
"April 2019","857100"
"May 2019","895237"
"June 2019","898768"
"July 2019","935036"
"August 2019","932920"
"September 2019","844477"
"October 2019","888887"
"November 2019","835890"
"December 2019","877367"
"January 2020","848248"
"February 2020","797175"
"March 2020","740517"
"April 2020","290801"
"May 2020","292721"
"June 2020","357794"
"July 2020","510760"
"August 2020","535443"
"September 2020","480096"
"October 2020","518213"
"November 2020","528788"
"December 2020","561525"